name,age_group,population
El_Salvador,0-4,494400
El_Salvador,5-19,1647114
El_Salvador,20-49,2880143
El_Salvador,50-64,791932
El_Salvador,65+,510394
Equatorial_Guinea,0-4,253686
Equatorial_Guinea,5-19,622070
Equatorial_Guinea,20-49,753245
Equatorial_Guinea,50-64,172321
Equatorial_Guinea,65+,68295
Eritrea,0-4,464330
Eritrea,5-19,1304792
Eritrea,20-49,1296958
Eritrea,50-64,289522
Eritrea,65+,146177
Estonia,0-4,65239
Estonia,5-19,226459
Estonia,20-49,522702
Estonia,50-64,264767
Estonia,65+,288057
Eswatini,0-4,141918
Eswatini,5-19,401669
Eswatini,20-49,539573
Eswatini,50-64,101080
Eswatini,65+,52065
Ethiopia,0-4,19244820
Ethiopia,5-19,46389197
Ethiopia,20-49,50966355
Ethiopia,50-64,9586245
Ethiopia,65+,4168407
Fiji,0-4,82116
Fiji,5-19,251531
Fiji,20-49,408243
Fiji,50-64,125225
Fiji,65+,59428
Finland,0-4,234565
Finland,5-19,908447
Finland,20-49,2087614
Finland,50-64,1048457
Finland,65+,1332961
France,0-4,3373587
France,5-19,11805868
France,20-49,23876509
France,50-64,12844773
France,65+,14595422
Gabon,0-4,331971
Gabon,5-19,819061
Gabon,20-49,1037531
Gabon,50-64,221307
Gabon,65+,101991
Gambia,0-4,385997
Gambia,5-19,1019215
Gambia,20-49,1029982
Gambia,50-64,211135
Gambia,65+,82576
Georgia,0-4,236913
Georgia,5-19,787473
Georgia,20-49,1495472
Georgia,50-64,698941
Georgia,65+,589040
Germany,0-4,3873628
Germany,5-19,11762255
Germany,20-49,30447583
Germany,50-64,19153433
Germany,65+,19458664
Ghana,0-4,4237717
Ghana,5-19,11514646
Ghana,20-49,13986908
Ghana,50-64,3117699
Ghana,65+,1251487
Greece,0-4,387794
Greece,5-19,1499012
Greece,20-49,3655256
Greece,50-64,2197500
Greece,65+,2396958
Guatemala,0-4,1864549
Guatemala,5-19,5845420
Guatemala,20-49,8124003
Guatemala,50-64,1556058
Guatemala,65+,875162
Guinea,0-4,2208605
Guinea,5-19,5361002
Guinea,20-49,5497621
Guinea,50-64,1011682
Guinea,65+,502629
Guinea-Bissau,0-4,298761
Guinea-Bissau,5-19,787801
Guinea-Bissau,20-49,866531
Guinea-Bissau,50-64,155315
Guinea-Bissau,65+,68979
Guyana,0-4,82707
Guyana,5-19,231350
Guyana,20-49,349324
Guyana,50-64,110460
Guyana,65+,54790
Haiti,0-4,1233117
Haiti,5-19,3599606
Haiti,20-49,5163454
Haiti,50-64,1163352
Haiti,65+,545666
Honduras,0-4,1140819
Honduras,5-19,3228828
Honduras,20-49,4897761
Honduras,50-64,1000457
Honduras,65+,467525
Hong_Kong,0-4,220257
Hong_Kong,5-19,849930
Hong_Kong,20-49,2934543
Hong_Kong,50-64,1782144
Hong_Kong,65+,1646204
Hungary,0-4,458865
Hungary,5-19,1440684
Hungary,20-49,3884094
Hungary,50-64,1878600
Hungary,65+,2027477
Iceland,0-4,23324
Iceland,5-19,71274
Iceland,20-49,169107
Iceland,50-64,66545
Iceland,65+,60489
India,0-4,137425002
India,5-19,463424076
India,20-49,617657329
India,50-64,154121371
India,65+,71808424
India_Andaman_and_Nicobar_Islands,0-4,33321
India_Andaman_and_Nicobar_Islands,5-19,114578
India_Andaman_and_Nicobar_Islands,20-49,234391
India_Andaman_and_Nicobar_Islands,50-64,54561
India_Andaman_and_Nicobar_Islands,65+,17106
India_Andhra_Pradesh,0-4,7755591
India_Andhra_Pradesh,5-19,28595317
India_Andhra_Pradesh,20-49,47962355
India_Andhra_Pradesh,50-64,11847757
India_Andhra_Pradesh,65+,4735857
India_Arunachal_Pradesh,0-4,172768
India_Arunachal_Pradesh,5-19,616557
India_Arunachal_Pradesh,20-49,694814
India_Arunachal_Pradesh,50-64,121760
India_Arunachal_Pradesh,65+,44713
India_Assam,0-4,3793607
India_Assam,5-19,11984475
India_Assam,20-49,16257139
India_Assam,50-64,3439721
India_Assam,65+,1750337
India_Bihar,0-4,15126086
India_Bihar,5-19,45657607
India_Bihar,20-49,46457133
India_Bihar,50-64,11606510
India_Bihar,65+,5333487
India_Chhattisgarh,0-4,2956349
India_Chhattisgarh,5-19,10018953
India_Chhattisgarh,20-49,12934903
India_Chhattisgarh,50-64,3198014
India_Chhattisgarh,65+,1364760
